"netrad_toa","netheat_grnd","albedo","swabstoa_ave","swabstoa","swabstoa_soceans","sw_cre","olr_ave","olr","lw_cre","pwv","qv_100hpa","qv_200hpa","qv_600hpa","qv_925hpa","T_trop","T_100hpa","T_200hpa","T_600hpa","T_925hpa","TLWP","TIWP","prec_mc","prec","prec_amazon","tcc","tcc_isccp","tcc_shcu","tcc_sc","cdnc","sfcwind","T_for_Phase0.90","Z_for_Phase0.90","Trop_Cyclone_Count","StreamFunction_DJF","StreamFunction_JJA"
2.88000011444092,2.97000002861023,30.2530002593994,237.470001220703,46.415714263916,17.0591106414795,69.7075119018555,234.580001831055,54.7180709838867,29.9961757659912,0.385966658592224,5.11080770593253e-06,2.25663898163475e-05,0.00126218341756612,0.000813732389360666,2.02085876464844,9.62271976470947,10.3788137435913,11.8048334121704,9.2963228225708,0.0584619082510471,0.0212742872536182,8.96388010005467e-05,1.78849149961025e-05,3.07505433738697e-05,85.9667129516602,107.944747924805,102.435005187988,25.8564796447754,162.348922729492,4.18208694458008,31.1193790435791,2.54600167274475,0,176.937927246094,239.937698364258
7.34000015258789,7.3899998664856,36.5950012207031,215.880004882812,210.415420532227,38.7592620849609,230.33869934082,208.539993286133,247.97883605957,186.586959838867,32.0738182067871,5.09771052747965e-06,0.000308701652102172,0.00588564248755574,0.0033193661365658,1.55522155761719,30.8293113708496,41.2472038269043,5.8862624168396,5.63920497894287,0.104810409247875,0.175636231899261,3.12076044792775e-05,6.36114127701148e-05,3.57728204107843e-05,101.040451049805,73.0659027099609,80.0097579956055,108.634124755859,206.228530883789,8.68467807769775,106.800559997559,13.8690977096558,1,130.190612792969,213.388076782227
2.84999990463257,2.86999988555908,36.1559982299805,217.369995117188,222.437423706055,25.6988334655762,249.828887939453,214.509994506836,218.372161865234,160.2431640625,7.47289657592773,5.58341253054095e-06,0.000167707024957053,0.00303018931299448,0.00116444251034409,3.44842529296875,13.7941398620605,28.021484375,5.92494869232178,6.42096662521362,0.125927805900574,0.391556978225708,5.88904731557705e-05,4.07244187954348e-05,3.22123778460082e-05,45.6652870178223,65.3243637084961,113.592208862305,32.4280776977539,247.36181640625,6.48315048217773,99.9525604248047,14.765154838562,0,153.308319091797,184.65022277832
-3.44000005722046,-3.51999998092651,41.6399993896484,198.699996948242,340.711791992188,84.3850784301758,356.624420166016,202.139999389648,295.712860107422,230.560668945312,29.4158039093018,3.29555155076378e-06,0.000310461560729891,0.00514172902330756,0.00378943840041757,2.22315216064453,22.4907150268555,40.3523750305176,4.40314865112305,6.9356255531311,0.111979804933071,1.04244291782379,2.38635529967723e-05,5.25777686561923e-05,3.92232359445188e-05,115.745140075684,111.04581451416,124.022003173828,204.83935546875,174.008743286133,7.01952457427979,125.476509094238,17.2763843536377,3,138.649505615234,198.925109863281
-5.44999980926514,-5.3899998664856,42.382999420166,196.169998168945,371.9814453125,64.0631408691406,396.623413085938,201.619995117188,310.948669433594,245.650634765625,38.2504653930664,3.06772494695906e-06,0.000381673977244645,0.00640240125358105,0.00429122801870108,1.76116180419922,18.60009765625,42.0428924560547,7.0138111114502,6.3823070526123,0.425600826740265,0.270642638206482,3.18785714625847e-05,6.08313785050996e-05,3.99812997784466e-05,80.9681549072266,100.503257751465,40.9583625793457,49.8501853942871,202.779083251953,6.48814487457275,37.8426780700684,3.85818648338318,0,152.784729003906,185.102996826172
-12.0100002288818,-11.8599996566772,37.689998626709,212.149993896484,238.776702880859,50.8157386779785,253.165283203125,224.160003662109,128.452743530273,77.6047668457031,5.03929042816162,6.22560719421017e-06,1.37693341457634e-05,0.00106721767224371,0.000963712343946099,2.31990051269531,10.8415184020996,14.6400051116943,8.3553056716919,8.57398128509521,0.0937001779675484,0.747319519519806,4.43389981228393e-05,3.2156483939616e-05,3.8444806705229e-05,35.8858909606934,40.4871253967285,73.8259048461914,139.075714111328,250.498733520508,4.07265090942383,47.3598670959473,8.2939453125,6,172.637420654297,286.117980957031
-13.8100004196167,-13.6700000762939,38.5620002746582,209.179992675781,264.336853027344,50.3011627197266,276.865264892578,222.990005493164,137.418395996094,86.0653457641602,12.9055862426758,7.11119400875759e-06,5.27331985722412e-06,0.00225308164954185,0.00188810145482421,3.51104736328125,8.87987041473389,15.1315536499023,4.37428665161133,6.30792903900146,0.406117886304855,0.442186295986176,4.69164224341512e-05,3.9746802940499e-05,3.67015309166163e-05,31.8120994567871,45.6965255737305,54.0146484375,139.88444519043,218.052993774414,4.09715890884399,134.232849121094,20.4087677001953,3,175.426620483398,292.106719970703
2.30999994277954,2.4300000667572,36.5880012512207,215.899993896484,222.677871704102,33.0436706542969,245.423110961914,213.589996337891,221.118011474609,161.97380065918,15.7893714904785,5.16821546625579e-06,0.000156703797983937,0.0033884271979332,0.00160570943262428,3.53330993652344,13.0089025497437,26.889196395874,2.88083004951477,7.04373025894165,0.0758525729179382,0.744520485401154,4.84569318359718e-05,4.48929604317527e-05,3.68446999345906e-05,52.837703704834,62.482738494873,82.8582382202148,53.3680648803711,215.369445800781,6.48637580871582,141.770690917969,21.1489906311035,0,154.004745483398,196.649078369141
-3.32999992370605,-3.16000008583069,37.0550003051758,214.309997558594,231.682052612305,28.9574947357178,249.727432250977,217.639999389648,180.850875854492,127.724906921387,15.9770002365112,6.40722737443866e-06,7.21290271030739e-05,0.00333385448902845,0.00198126793839037,2.91339111328125,11.7066316604614,21.3077259063721,2.5554723739624,5.15763425827026,0.225260198116302,0.0754524543881416,2.50900484388694e-05,3.45197076967452e-05,3.03161941701546e-05,60.1961097717285,77.8205261230469,87.9801635742188,173.418533325195,218.078659057617,5.6546049118042,50.6068572998047,7.21767377853394,2,154.842834472656,258.003723144531
-9.61999988555908,-9.64000034332275,31.4740009307861,233.309997558594,75.0266799926758,15.3479070663452,95.5259780883789,242.940002441406,34.4804611206055,65.414680480957,2.1167905330658,5.70668453292456e-06,7.3952745879069e-05,0.000736664165742695,0.00103858287911862,1.46946716308594,6.29177570343018,5.53143405914307,14.1059513092041,9.75234794616699,0.350396245718002,0.0664315968751907,9.27493238123134e-05,4.12405424867757e-05,3.10272007482126e-05,99.8293762207031,88.9690017700195,58.8349151611328,83.495231628418,160.917831420898,3.53859043121338,27.0478935241699,2.574462890625,5,188.778549194336,298.852416992188
